Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Infiniti Q60 Red Sport AWD 3.0 L, 6 cyl, Automatic (S7), Turbo, Premium Gasoline",,21MPG1926combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,26,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$3,100","$60,200",14.2 barrels/yr,423 grams/mile, 420 milesTotal Range
"2022 Jeep Grand Cherokee L 2WD 3.6 L, 6 cyl, Automatic 8-spd, Regular Gasoline",,21MPG1926combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,26,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$2,550","$40,325 – $60,300",14.2 barrels/yr,416 grams/mile,Range not available
"2022 Jeep Grand Cherokee WK 2WD 3.6 L, 6 cyl, Automatic 8-spd, Regular Gasoline",,21MPG1926combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,26,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$2,550","$36,980 – $42,830",14.2 barrels/yr,414 grams/mile, 517 milesTotal Range
"2022 Acura MDX AWD 3.5 L, 6 cyl, Automatic (S10), Premium Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$3,100","$50,200 – $61,950",14.2 barrels/yr,423 grams/mile, 388 milesTotal Range
"2022 Acura TLX Type-S 3.0 L, 6 cyl, Automatic (S10), Turbo, Premium Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$3,100","$53,700",14.2 barrels/yr,420 grams/mile, 334 milesTotal Range
"2022 Ford Edge AWD 2.7 L, 6 cyl, Automatic (S8), Turbo, Regular Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$2,550","$37,945 – $46,485",14.2 barrels/yr,423 grams/mile, 388 milesTotal Range
"2022 Ford Mustang HO Convertible 2.3 L, 4 cyl, Manual 6-spd, Turbo, Regular Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$2,550", ,14.2 barrels/yr,423 grams/mile, 334 milesTotal Range
"2022 Genesis GV70 AWD 3.5 L, 6 cyl, Automatic (S8), Turbo, Premium Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,20.0,,"$3,100","$41,500 – $53,100",14.2 barrels/yr,428 grams/mile, 365 milesTotal Range
"2022 Honda Pilot AWD TrailSport 3.5 L, 6 cyl, Automatic (S9), Regular Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,NA,,"$2,550","$44,810",14.2 barrels/yr,419 grams/mile, 410 milesTotal Range
"2022 Lincoln Nautilus AWD 2.7 L, 6 cyl, Automatic (S8), Turbo, Regular Gasoline",,21MPG1925combined city/hwycityhwy4.8 gal/100 mi,,21,MPG,19,25,,combined city/hwy,city,hwy,4.8 gal/100 mi,19.7,,"$2,550","$46,590 – $66,710",14.2 barrels/yr,423 grams/mile, 378 milesTotal Range
