Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Hyundai Ioniq Blue 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,59MPG5860combined city/hwycityhwy1.7 gal/100 mi,,59,MPG,58,60,,combined city/hwy,city,hwy,1.7 gal/100 mi,NA,,$900,"$23,600",5.0 barrels/yr,151 grams/mile, 702 milesTotal Range
"2022 Toyota Prius Eco 1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,56MPG5853combined city/hwycityhwy1.8 gal/100 mi,,56,MPG,58,53,,combined city/hwy,city,hwy,1.8 gal/100 mi,NA,,$950,"$25,075",5.3 barrels/yr,158 grams/mile, 633 milesTotal Range
"2022 Hyundai Ioniq 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,55MPG5457combined city/hwycityhwy1.8 gal/100 mi,,55,MPG,54,57,,combined city/hwy,city,hwy,1.8 gal/100 mi,65.2,,$950,"$25,550 – $31,600",5.4 barrels/yr,162 grams/mile, 654 milesTotal Range
"2022 Hyundai Elantra Hybrid Blue 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,54MPG5356combined city/hwycityhwy1.9 gal/100 mi,,54,MPG,53,56,,combined city/hwy,city,hwy,1.9 gal/100 mi,NA,,"$1,000","$24,100",5.5 barrels/yr,165 grams/mile, 594 milesTotal Range
"2022 Honda Insight 1.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,52MPG5549combined city/hwycityhwy1.9 gal/100 mi,,52,MPG,55,49,,combined city/hwy,city,hwy,1.9 gal/100 mi,51.4,,"$1,000","$25,760",5.7 barrels/yr,170 grams/mile, 551 milesTotal Range
"2022 Toyota Prius 1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,52MPG5450combined city/hwycityhwy1.9 gal/100 mi,,52,MPG,54,50,,combined city/hwy,city,hwy,1.9 gal/100 mi,55.6,,"$1,000","$26,285 – $33,370",5.7 barrels/yr,170 grams/mile, 588 milesTotal Range
"2022 Toyota Corolla Hybrid 1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,52MPG5352combined city/hwycityhwy1.9 gal/100 mi,,52,MPG,53,52,,combined city/hwy,city,hwy,1.9 gal/100 mi,53.5,,"$1,000","$24,050",5.7 barrels/yr,170 grams/mile, 593 milesTotal Range
"2022 Toyota Camry Hybrid LE 2.5 L, 4 cyl, Automatic (AV-S6), Regular Gasoline",,52MPG5153combined city/hwycityhwy1.9 gal/100 mi,,52,MPG,51,53,,combined city/hwy,city,hwy,1.9 gal/100 mi,47.0,,"$1,000","$27,980",5.7 barrels/yr,170 grams/mile, 686 milesTotal Range
"2022 Hyundai Sonata Hybrid Blue 2.0 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,52MPG5054combined city/hwycityhwy1.9 gal/100 mi,,52,MPG,50,54,,combined city/hwy,city,hwy,1.9 gal/100 mi,NA,,"$1,000","$27,350",5.7 barrels/yr,172 grams/mile, 686 milesTotal Range
"2022 Kia Niro FE 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,50MPG5348combined city/hwycityhwy2.0 gal/100 mi,,50,MPG,53,48,,combined city/hwy,city,hwy,2.0 gal/100 mi,NA,,"$1,050", ,6.0 barrels/yr,179 grams/mile, 595 milesTotal Range
"2022 Hyundai Elantra Hybrid 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,50MPG4952combined city/hwycityhwy2.0 gal/100 mi,,50,MPG,49,52,,combined city/hwy,city,hwy,2.0 gal/100 mi,NA,,"$1,050","$28,600",6.0 barrels/yr,177 grams/mile, 550 milesTotal Range
"2022 Toyota Prius AWD 1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,49MPG5147combined city/hwycityhwy2.0 gal/100 mi,,49,MPG,51,47,,combined city/hwy,city,hwy,2.0 gal/100 mi,NA,,"$1,100","$27,685 – $30,675",6.1 barrels/yr,179 grams/mile, 519 milesTotal Range
"2022 Kia Niro 1.6 L, 4 cyl, Automatic (AM-S6), Regular Gasoline",,49MPG5146combined city/hwycityhwy2.0 gal/100 mi,,49,MPG,51,46,,combined city/hwy,city,hwy,2.0 gal/100 mi,NA,,"$1,100","$24,690 – $31,990",6.1 barrels/yr,183 grams/mile, 583 milesTotal Range
