Vehicle,PaymentYear,TotalPayment
Tesla Model 3 RWDAutomatic (A1),1,10567.0
Tesla Model 3 RWDAutomatic (A1),2,21134.0
Tesla Model 3 RWDAutomatic (A1),3,31701.0
Tesla Model 3 RWDAutomatic (A1),4,42268.0
Tesla Model 3 RWDAutomatic (A1),5,52835.0
Tesla Model 3 RWDAutomatic (A1),6,54004.0
Tesla Model 3 RWDAutomatic (A1),7,55173.0
Tesla Model 3 RWDAutomatic (A1),8,56342.0
Tesla Model 3 RWDAutomatic (A1),9,57511.0
Tesla Model 3 RWDAutomatic (A1),10,58680.0
Tesla Model 3 RWDAutomatic (A1),11,59849.0
Tesla Model 3 RWDAutomatic (A1),12,61018.0
Tesla Model 3 Long Range AWDAutomatic (A1),1,12767.0
Tesla Model 3 Long Range AWDAutomatic (A1),2,25534.0
Tesla Model 3 Long Range AWDAutomatic (A1),3,38301.0
Tesla Model 3 Long Range AWDAutomatic (A1),4,51068.0
Tesla Model 3 Long Range AWDAutomatic (A1),5,63835.0
Tesla Model 3 Long Range AWDAutomatic (A1),6,65004.0
Tesla Model 3 Long Range AWDAutomatic (A1),7,66173.0
Tesla Model 3 Long Range AWDAutomatic (A1),8,67342.0
Tesla Model 3 Long Range AWDAutomatic (A1),9,68511.0
Tesla Model 3 Long Range AWDAutomatic (A1),10,69680.0
Tesla Model 3 Long Range AWDAutomatic (A1),11,70849.0
Tesla Model 3 Long Range AWDAutomatic (A1),12,72018.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),1,20169.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),2,40338.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),3,60507.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),4,80676.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),5,100845.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),6,102014.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),7,103183.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),8,104352.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),9,105521.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),10,106690.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),11,107859.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),12,109028.0
Tesla Model Y RWDAutomatic (A1),1,1169.0
Tesla Model Y RWDAutomatic (A1),2,2338.0
Tesla Model Y RWDAutomatic (A1),3,3507.0
Tesla Model Y RWDAutomatic (A1),4,4676.0
Tesla Model Y RWDAutomatic (A1),5,5845.0
Tesla Model Y RWDAutomatic (A1),6,7014.0
Tesla Model Y RWDAutomatic (A1),7,8183.0
Tesla Model Y RWDAutomatic (A1),8,9352.0
Tesla Model Y RWDAutomatic (A1),9,10521.0
Tesla Model Y RWDAutomatic (A1),10,11690.0
Tesla Model Y RWDAutomatic (A1),11,12859.0
Tesla Model Y RWDAutomatic (A1),12,14028.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),1,1169.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),2,2338.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),3,3507.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),4,4676.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),5,5845.0
