level_0,index,Vehicle,All_MPG,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Fuel_Rate,Text2,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType,Year,VehicleBrand,VehicleModel,IsLuxuryBrand
0,0,Tesla Model 3 RWDAutomatic (A1),132MPGe138126combined city/hwycityhwy25 kWh/100 mi,132,MPGe,138,126,25 kWh/100 mi,NA ,550,46990,.1 barrels/yr,0 grams/mile,272,Electric Vehicle,2022,Tesla,Model 3 RWDAutomatic (A1),Yes
1,1,Tesla Model 3 Long Range AWDAutomatic (A1),131MPGe134126combined city/hwycityhwy26 kWh/100 mi,131,MPGe,134,126,26 kWh/100 mi,128.5,550,57990,.1 barrels/yr,0 grams/mile,358,Electric Vehicle,2022,Tesla,Model 3 Long Range AWDAutomatic (A1),Yes
2,2,Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),131MPGe130132combined city/hwycityhwy26 kWh/100 mi,131,MPGe,130,132,26 kWh/100 mi,NA ,550,95000,.1 barrels/yr,0 grams/mile,516,Electric Vehicle,2022,Lucid,Air G Touring AWD w/19 inch wheelsAutomatic (A1),No
3,3,Tesla Model Y RWDAutomatic (A1),129MPGe140119combined city/hwycityhwy26 kWh/100 mi,129,MPGe,140,119,26 kWh/100 mi,NA ,550,0,.1 barrels/yr,0 grams/mile,244,Electric Vehicle,2022,Tesla,Model Y RWDAutomatic (A1),Yes
4,4,Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),125MPGe126125combined city/hwycityhwy27 kWh/100 mi,125,MPGe,126,125,27 kWh/100 mi,NA ,550,0,.1 barrels/yr,0 grams/mile,520,Electric Vehicle,2022,Lucid,Air Dream R AWD w/19 inch wheelsAutomatic (A1),No
5,5,Tesla Model Y AWDAutomatic (A1),123MPGe129116combined city/hwycityhwy28 kWh/100 mi,123,MPGe,129,116,28 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,279,Electric Vehicle,2022,Tesla,Model Y AWDAutomatic (A1),Yes
6,6,Tesla Model Y Long Range AWDAutomatic (A1),122MPGe127117combined city/hwycityhwy28 kWh/100 mi,122,MPGe,127,117,28 kWh/100 mi,128.3,600,65990,.1 barrels/yr,0 grams/mile,330,Electric Vehicle,2022,Tesla,Model Y Long Range AWDAutomatic (A1),Yes
7,7,Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),121MPGe121122combined city/hwycityhwy28 kWh/100 mi,121,MPGe,121,122,28 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,469,Electric Vehicle,2022,Lucid,Air G Touring AWD w/21 inch wheelsAutomatic (A1),No
8,8,Hyundai Kona ElectricAutomatic (A1),120MPGe132108combined city/hwycityhwy28 kWh/100 mi,120,MPGe,132,108,28 kWh/100 mi,NA ,600,42500,.1 barrels/yr,0 grams/mile,258,Electric Vehicle,2022,Hyundai,Kona ElectricAutomatic (A1),No
9,9,Chevrolet Bolt EVAutomatic (variable gear ratios),120MPGe131109combined city/hwycityhwy28 kWh/100 mi,120,MPGe,131,109,28 kWh/100 mi,NA ,600,34200,.1 barrels/yr,0 grams/mile,259,Electric Vehicle,2022,Chevrolet,Bolt EVAutomatic (variable gear ratios),No
