Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo, Regular Gasoline",,29MPG2732combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,27,32,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$19,290 – $27,890",10.3 barrels/yr,309 grams/mile, 415 milesTotal Range
"2022 Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gasoline",,29MPG2731combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,27,31,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$23,370 – $28,170",10.3 barrels/yr,311 grams/mile, 383 milesTotal Range
"2022 Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,29MPG2731combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,27,31,,combined city/hwy,city,hwy,3.4 gal/100 mi,27.5,,"$1,850","$22,590 – $28,090",10.3 barrels/yr,314 grams/mile, 383 milesTotal Range
"2022 Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7), Regular Gasoline",,29MPG2731combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,27,31,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$24,280 – $27,300",10.3 barrels/yr,305 grams/mile, 383 milesTotal Range
"2022 Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd, Regular Gasoline",,29MPG2636combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,36,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$23,550 – $30,050",10.3 barrels/yr,304 grams/mile, 360 milesTotal Range
"2022 BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,29MPG2635combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,35,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$2,250","$36,350",10.3 barrels/yr,300 grams/mile, 397 milesTotal Range
"2022 Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6), Regular Gasoline",,29MPG2634combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,34,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$24,450 – $28,700",10.3 barrels/yr,306 grams/mile, 383 milesTotal Range
"2022 Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd, Premium Gasoline",,29MPG2634combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,34,,combined city/hwy,city,hwy,3.4 gal/100 mi,41.3,,"$2,250","$27,650 – $38,550",10.3 barrels/yr,305 grams/mile, 345 milesTotal Range
"2022 Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,29MPG2633combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,33,,combined city/hwy,city,hwy,3.4 gal/100 mi,22.6,,"$1,850","$24,950 – $35,300",10.3 barrels/yr,314 grams/mile, 415 milesTotal Range
"2022 MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,29MPG2633combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,33,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$2,250", ,10.3 barrels/yr,306 grams/mile, 467 milesTotal Range
"2022 Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7), Regular Gasoline",,29MPG2633combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,33,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$1,850","$25,895 – $35,995",10.3 barrels/yr,310 grams/mile, 481 milesTotal Range
"2022 Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,29MPG2633combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,26,33,,combined city/hwy,city,hwy,3.4 gal/100 mi,27.0,,"$1,850","$27,645 – $40,645",10.3 barrels/yr,308 grams/mile, 536 milesTotal Range
"2022 Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo, Premium Gasoline",,29MPG2536combined city/hwycityhwy3.4 gal/100 mi,,29,MPG,25,36,,combined city/hwy,city,hwy,3.4 gal/100 mi,NA,,"$2,250","$38,200",10.3 barrels/yr,309 grams/mile, 392 milesTotal Range
