Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Dodge Challenger SRT 6.2 L, 8 cyl, Manual 6-spd, Supercharger, Premium Gasoline",,16MPG1321combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,21,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$69,040 – $86,645",18.6 barrels/yr,567 grams/mile, 296 milesTotal Range
"2022 Dodge Challenger SRT Widebody 6.2 L, 8 cyl, Manual 6-spd, Supercharger, Premium Gasoline",,16MPG1321combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,21,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$75,040 – $84,640",18.6 barrels/yr,567 grams/mile, 296 milesTotal Range
"2022 BMW M760i xDrive Sedan 6.6 L, 12 cyl, Automatic (S8), Turbo, Premium Gasoline",,16MPG1320combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,20,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100", ,18.6 barrels/yr,570 grams/mile, 330 milesTotal Range
"2022 Maserati Ghibli Trofeo 3.8 L, 8 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,16MPG1320combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,20,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$110,600",18.6 barrels/yr,560 grams/mile, 338 milesTotal Range
"2022 Maserati Levante Modena V8 3.8 L, 8 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,16MPG1320combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,20,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$115,400",18.6 barrels/yr,562 grams/mile, 338 milesTotal Range
"2022 Maserati Levante Trofeo 3.8 L, 8 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,16MPG1320combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,20,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$153,100",18.6 barrels/yr,562 grams/mile, 338 milesTotal Range
"2022 Maserati Quattroporte Trofeo 3.8 L, 8 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,16MPG1320combined city/hwycityhwy6.2 gal/100 mi,,16,MPG,13,20,,combined city/hwy,city,hwy,6.2 gal/100 mi,NA,,"$4,100","$143,200",18.6 barrels/yr,560 grams/mile, 338 milesTotal Range
"2022 Ford Bronco Raptor 4WD 3.0 L, 6 cyl, Automatic (S10), Turbo, Regular Gasoline",,15MPG1516combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,15,16,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550","$68,500",19.8 barrels/yr,577 grams/mile, 312 milesTotal Range
"2022 Ford F150 RAPTOR 37 4WD 3.5 L, 6 cyl, Automatic (S10), Turbo, Regular Gasoline",,15MPG1516combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,15,16,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550", ,19.8 barrels/yr,578 grams/mile, 390 milesTotal Range
"2022 Chevrolet Silverado Mud Terrain Tires 4WD 5.3 L, 8 cyl, Automatic 8-spd, Regular Gasoline",,15MPG1418combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,14,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550", ,19.8 barrels/yr,577 grams/mile, 360 milesTotal Range
