Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Tesla Model 3 RWDAutomatic (A1), Electricity",,132MPGe138126combined city/hwycityhwy25 kWh/100 mi,,132,MPGe,138,126,,combined city/hwy,city,hwy,25 kWh/100 mi,NA ,,$550,"$46,990",.1 barrels/yr,0 grams/mile, 272 milesTotal Range,Electric Vehicle
"2022 Tesla Model 3 Long Range AWDAutomatic (A1), Electricity",,131MPGe134126combined city/hwycityhwy26 kWh/100 mi,,131,MPGe,134,126,,combined city/hwy,city,hwy,26 kWh/100 mi,128.5,,$550,"$57,990",.1 barrels/yr,0 grams/mile, 358 milesTotal Range,Electric Vehicle
"2022 Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1), Electricity",,131MPGe130132combined city/hwycityhwy26 kWh/100 mi,,131,MPGe,130,132,,combined city/hwy,city,hwy,26 kWh/100 mi,NA ,,$550,"$95,000",.1 barrels/yr,0 grams/mile, 516 milesTotal Range,Electric Vehicle
"2022 Tesla Model Y RWDAutomatic (A1), Electricity",,129MPGe140119combined city/hwycityhwy26 kWh/100 mi,,129,MPGe,140,119,,combined city/hwy,city,hwy,26 kWh/100 mi,NA ,,$550, ,.1 barrels/yr,0 grams/mile, 244 milesTotal Range,Electric Vehicle
"2022 Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1), Electricity",,125MPGe126125combined city/hwycityhwy27 kWh/100 mi,,125,MPGe,126,125,,combined city/hwy,city,hwy,27 kWh/100 mi,NA ,,$550, ,.1 barrels/yr,0 grams/mile, 520 milesTotal Range,Electric Vehicle
"2022 Tesla Model Y AWDAutomatic (A1), Electricity",,123MPGe129116combined city/hwycityhwy28 kWh/100 mi,,123,MPGe,129,116,,combined city/hwy,city,hwy,28 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 279 milesTotal Range,Electric Vehicle
"2022 Tesla Model Y Long Range AWDAutomatic (A1), Electricity",,122MPGe127117combined city/hwycityhwy28 kWh/100 mi,,122,MPGe,127,117,,combined city/hwy,city,hwy,28 kWh/100 mi,128.3,,$600,"$65,990",.1 barrels/yr,0 grams/mile, 330 milesTotal Range,Electric Vehicle
"2022 Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1), Electricity",,121MPGe121122combined city/hwycityhwy28 kWh/100 mi,,121,MPGe,121,122,,combined city/hwy,city,hwy,28 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 469 milesTotal Range,Electric Vehicle
"2022 Hyundai Kona ElectricAutomatic (A1), Electricity",,120MPGe132108combined city/hwycityhwy28 kWh/100 mi,,120,MPGe,132,108,,combined city/hwy,city,hwy,28 kWh/100 mi,NA ,,$600,"$34,000– $42,500",.1 barrels/yr,0 grams/mile, 258 milesTotal Range,Electric Vehicle
"2022 Chevrolet Bolt EVAutomatic (variable gear ratios), Electricity",,120MPGe131109combined city/hwycityhwy28 kWh/100 mi,,120,MPGe,131,109,,combined city/hwy,city,hwy,28 kWh/100 mi,NA ,,$600,"$31,000– $34,200",.1 barrels/yr,0 grams/mile, 259 milesTotal Range,Electric Vehicle
