Vehicle,Blank1,All_MPG,Blank2,Combined_MPGe,MPGe_Type,Blank3,Blank4,Blank5,TextCombined,Blank6,Blank7,ElectricCarSpecs,Blank8,Combined_MPG,MPGType,Blank9,Blank0,Blank11,TextCombined2,Blank12,Blank13,GasCarSpec,Blank14,Blank15,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Toyota Prius Prime1.8 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",,Gas & Electric133MPGe  combined city/hwy.0 gal/100 mi of gas+ 25 kWh/100 miReg. Gas54MPG  combined city/hwy1.9 gal/100 mi ,,133,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 25 kWh/100 mi,,54,MPG, , ,,combined city/hwy,,,1.9 gal/100 mi ,75.2,,$750,"$28,770  – $43,625",2.6 barrels/yr,78 grams/mile, 25 miles Elec + GasAll Elec: 0-25 mi640 miles Total Range ,Plug In Hybrid
"2022 Hyundai Ioniq Plug-in Hybrid1.6 L, 4 cyl, Automatic (AM-S6), Regular Gas and Electricity",,Gas & Electric119MPGe  combined city/hwy.0 gal/100 mi of gas+ 28 kWh/100 miReg. Gas52MPG  combined city/hwy1.9 gal/100 mi ,,119,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 28 kWh/100 mi,,52,MPG, , ,,combined city/hwy,,,1.9 gal/100 mi ,110.6,,$800,"$26,800  – $33,250",2.5 barrels/yr,74 grams/mile, 29 miles Elec + GasAll Elec: 0-29 mi620 miles Total Range ,Plug In Hybrid
"2022 Ford Escape FWD PHEV2.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",,Gas & Electric105MPGe  combined city/hwy.0 gal/100 mi of gas+ 32 kWh/100 miReg. Gas40MPG  combined city/hwy2.5 gal/100 mi ,,105,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 32 kWh/100 mi,,40,MPG, , ,,combined city/hwy,,,2.5 gal/100 mi ,75.4,,$900,"$35,455  – $40,700",2.6 barrels/yr,77 grams/mile, 37 miles Elec + GasAll Elec: 0-38 mi520 miles Total Range ,Plug In Hybrid
"2022 Kia Niro Plug-in Hybrid1.6 L, 4 cyl, Automatic (AM-S6), Regular Gas and Electricity",,Gas & Electric105MPGe  combined city/hwy.0 gal/100 mi of gas+ 32 kWh/100 miReg. Gas46MPG  combined city/hwy2.2 gal/100 mi ,,105,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 32 kWh/100 mi,,46,MPG, , ,,combined city/hwy,,,2.2 gal/100 mi ,,,$900,"$29,590  – $36,490",3.0 barrels/yr,90 grams/mile, 26 miles Elec + GasAll Elec: 0-26 mi560 miles Total Range ,Plug In Hybrid
"2022 Toyota RAV4 Prime 4WD2.5 L, 4 cyl, Automatic (AV-S6), Regular Gas and Electricity",,Gas & Electric94MPGe  combined city/hwy.0 gal/100 mi of gas+ 36 kWh/100 miReg. Gas38MPG  combined city/hwy2.6 gal/100 mi ,,94,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 36 kWh/100 mi,,38,MPG, , ,,combined city/hwy,,,2.6 gal/100 mi ,118.0,,$950, ,2.5 barrels/yr,72 grams/mile, 42 miles Elec + GasAll Elec: 0-42 mi600 miles Total Range ,Plug In Hybrid
"2022 Lexus NX 450h Plus AWD2.5 L, 4 cyl, Automatic (AV-S6), Premium and Electricity",,Gas & Electric84MPGe  combined city/hwy.0 gal/100 mi of gas+ 40 kWh/100 miPrem. Gas36MPG  combined city/hwy2.8 gal/100 mi ,,84,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 40 kWh/100 mi,,36,MPG, , ,,combined city/hwy,,,2.8 gal/100 mi ,,,"$1,200","$56,150  – $57,400",3.0 barrels/yr,87 grams/mile, 37 miles Elec + GasAll Elec: 0-37 mi550 miles Total Range ,Plug In Hybrid
"2022 Hyundai Tucson Plug-in Hybrid1.6 L, 4 cyl, Automatic (AM-S6), Turbo, Regular Gas and Electricity",,Gas & Electric80MPGe  combined city/hwy.0 gal/100 mi of gas+ 42 kWh/100 miReg. Gas35MPG  combined city/hwy2.9 gal/100 mi ,,80,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 42 kWh/100 mi,,35,MPG, , ,,combined city/hwy,,,2.9 gal/100 mi ,53.6,,"$1,150","$35,400  – $43,200",3.4 barrels/yr,100 grams/mile, 33 miles Elec + GasAll Elec: 0-33 mi420 miles Total Range ,Plug In Hybrid
"2022 Kia Sorento Plug-in Hybrid1.6 L, 4 cyl, Automatic (AM-S6), Turbo, Regular Gas and Electricity",,Gas & Electric79MPGe  combined city/hwy.0 gal/100 mi of gas+ 43 kWh/100 miReg. Gas34MPG  combined city/hwy2.9 gal/100 mi ,,79,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 43 kWh/100 mi,,34,MPG, , ,,combined city/hwy,,,2.9 gal/100 mi ,,,"$1,150","$45,190  – $48,090",3.5 barrels/yr,105 grams/mile, 32 miles Elec + GasAll Elec: 0-32 mi460 miles Total Range ,Plug In Hybrid
"2022 Volvo S60 T8 AWD Recharge ext. Range2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric74MPGe  combined city/hwy.1 gal/100 mi of gas+ 44 kWh/100 miPrem. Gas31MPG  combined city/hwy3.2 gal/100 mi ,,74,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 44 kWh/100 mi,,31,MPG, , ,,combined city/hwy,,,3.2 gal/100 mi ,,,"$1,300","$47,650  – $64,800",3.1 barrels/yr,99 grams/mile, 40 miles Elec + GasAll Elec: 0-41 mi530 miles Total Range ,Plug In Hybrid
"2022 Volvo V60 T8 AWD Recharge ext. Range2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric74MPGe  combined city/hwy.1 gal/100 mi of gas+ 44 kWh/100 miPrem. Gas31MPG  combined city/hwy3.2 gal/100 mi ,,74,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 44 kWh/100 mi,,31,MPG, , ,,combined city/hwy,,,3.2 gal/100 mi ,,,"$1,300", ,3.1 barrels/yr,99 grams/mile, 40 miles Elec + GasAll Elec: 0-41 mi530 miles Total Range ,Plug In Hybrid
