Vehicle,PaymentYear,TotalPayment
Tesla Model 3 RWDAutomatic (A1),1,9948.0
Tesla Model 3 RWDAutomatic (A1),2,19896.0
Tesla Model 3 RWDAutomatic (A1),3,29844.0
Tesla Model 3 RWDAutomatic (A1),4,39792.0
Tesla Model 3 RWDAutomatic (A1),5,49740.0
Tesla Model 3 RWDAutomatic (A1),6,50290.0
Tesla Model 3 RWDAutomatic (A1),7,50840.0
Tesla Model 3 RWDAutomatic (A1),8,51390.0
Tesla Model 3 RWDAutomatic (A1),9,51940.0
Tesla Model 3 RWDAutomatic (A1),10,52490.0
Tesla Model 3 RWDAutomatic (A1),11,53040.0
Tesla Model 3 RWDAutomatic (A1),12,53590.0
Tesla Model 3 Long Range AWDAutomatic (A1),1,12148.0
Tesla Model 3 Long Range AWDAutomatic (A1),2,24296.0
Tesla Model 3 Long Range AWDAutomatic (A1),3,36444.0
Tesla Model 3 Long Range AWDAutomatic (A1),4,48592.0
Tesla Model 3 Long Range AWDAutomatic (A1),5,60740.0
Tesla Model 3 Long Range AWDAutomatic (A1),6,61290.0
Tesla Model 3 Long Range AWDAutomatic (A1),7,61840.0
Tesla Model 3 Long Range AWDAutomatic (A1),8,62390.0
Tesla Model 3 Long Range AWDAutomatic (A1),9,62940.0
Tesla Model 3 Long Range AWDAutomatic (A1),10,63490.0
Tesla Model 3 Long Range AWDAutomatic (A1),11,64040.0
Tesla Model 3 Long Range AWDAutomatic (A1),12,64590.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),1,19550.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),2,39100.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),3,58650.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),4,78200.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),5,97750.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),6,98300.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),7,98850.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),8,99400.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),9,99950.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),10,100500.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),11,101050.0
Lucid Air G Touring AWD w/19 inch wheelsAutomatic (A1),12,101600.0
Tesla Model Y RWDAutomatic (A1),1,550.0
Tesla Model Y RWDAutomatic (A1),2,1100.0
Tesla Model Y RWDAutomatic (A1),3,1650.0
Tesla Model Y RWDAutomatic (A1),4,2200.0
Tesla Model Y RWDAutomatic (A1),5,2750.0
Tesla Model Y RWDAutomatic (A1),6,3300.0
Tesla Model Y RWDAutomatic (A1),7,3850.0
Tesla Model Y RWDAutomatic (A1),8,4400.0
Tesla Model Y RWDAutomatic (A1),9,4950.0
Tesla Model Y RWDAutomatic (A1),10,5500.0
Tesla Model Y RWDAutomatic (A1),11,6050.0
Tesla Model Y RWDAutomatic (A1),12,6600.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),1,550.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),2,1100.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),3,1650.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),4,2200.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),5,2750.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),6,3300.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),7,3850.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),8,4400.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),9,4950.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),10,5500.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),11,6050.0
Lucid Air Dream R AWD w/19 inch wheelsAutomatic (A1),12,6600.0
Tesla Model Y AWDAutomatic (A1),1,600.0
Tesla Model Y AWDAutomatic (A1),2,1200.0
Tesla Model Y AWDAutomatic (A1),3,1800.0
Tesla Model Y AWDAutomatic (A1),4,2400.0
Tesla Model Y AWDAutomatic (A1),5,3000.0
Tesla Model Y AWDAutomatic (A1),6,3600.0
Tesla Model Y AWDAutomatic (A1),7,4200.0
Tesla Model Y AWDAutomatic (A1),8,4800.0
Tesla Model Y AWDAutomatic (A1),9,5400.0
Tesla Model Y AWDAutomatic (A1),10,6000.0
Tesla Model Y AWDAutomatic (A1),11,6600.0
Tesla Model Y AWDAutomatic (A1),12,7200.0
Tesla Model Y Long Range AWDAutomatic (A1),1,13798.0
Tesla Model Y Long Range AWDAutomatic (A1),2,27596.0
Tesla Model Y Long Range AWDAutomatic (A1),3,41394.0
Tesla Model Y Long Range AWDAutomatic (A1),4,55192.0
Tesla Model Y Long Range AWDAutomatic (A1),5,68990.0
Tesla Model Y Long Range AWDAutomatic (A1),6,69590.0
Tesla Model Y Long Range AWDAutomatic (A1),7,70190.0
Tesla Model Y Long Range AWDAutomatic (A1),8,70790.0
Tesla Model Y Long Range AWDAutomatic (A1),9,71390.0
Tesla Model Y Long Range AWDAutomatic (A1),10,71990.0
Tesla Model Y Long Range AWDAutomatic (A1),11,72590.0
Tesla Model Y Long Range AWDAutomatic (A1),12,73190.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),1,600.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),2,1200.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),3,1800.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),4,2400.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),5,3000.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),6,3600.0
Lucid Air G Touring AWD w/21 inch wheelsAutomatic (A1),7,4200.0
